itemid,label,n_numeric_values,n_string_values,pct_numeric,n_hadm_no_value,string_values
51865,Influenza A by PCR,0,29,0.0,447660,NEG | POS
51873,Influenza B by PCR,0,27,0.0,447662,NEG | POS
51877,MRSA PCR,0,2755,0.0,445113,___
51879,Neisseria gonorrhoeae,0,0,,447689,
51893,Staph aureus PCR,0,2755,0.0,445113,___
51897,Surfactant/Albumin,0,6,0.0,447683,___
51899,Trichomonas vaginalis,0,0,,447689,
51901,Voided Specimen,0,0,,447689,
51903,PAN1,318,0,100.0,447377,
51904,PAN2,138,0,100.0,447551,
51921,"proBNP, Pleural",418,1855,18.4,445986,___
51922,"Urea Nitrogen, Pleural",1,1,50.0,447687,___
51924,Voided Specimen,0,0,,447689,
51927,"Albumin, Stool",0,0,,447689,
51933,C. diff PCR,0,1,0.0,447688,NEG
51934,C Diff Toxin Antigen Assay,0,0,,447689,
51945,Norovirus Genogroup I,0,1,0.0,447688,NEG
51946,Norovirus Genogroup II,0,2,0.0,447687,POS
51953,Voided Specimen,0,1,0.0,447688,___
51956,CDT027,0,1,0.0,447688,___
51972,Chlamydia trachomatis,0,1,0.0,447688,NEG
51980,Fentanyl,0,0,,447689,
51986,Neisseria gonorrhoeae,0,1,0.0,447688,NEG
51989,Oxycodone,0,1432,0.0,446293,NEG | POS
51996,Trichomonas vaginalis,0,0,,447689,
52004,UTX1,9550,0,100.0,438381,
52005,UTX2,9552,0,100.0,438380,
52006,UTX3,9433,0,100.0,438485,
52007,UTX4,9624,0,100.0,438319,
52008,UTX5,9604,0,100.0,438331,
52009,UTX6,9143,0,100.0,438756,
52010,UTX7,9459,0,100.0,438453,
52012,UTX9,117,0,100.0,447578,
52014,Voided Specimen,0,0,,447689,
52018,PAN1,954,0,100.0,446761,
52019,PAN2,42,0,100.0,447648,
52020,UTX10,2110,0,100.0,445595,
52023,Assist/Control,0,0,,447689,
52024,"Creatinine, Whole Blood",5739,107,98.2,443696,___
52026,Estimated GFR (MDRD equation),0,0,,447689,
52033,Specimen Type,0,752663,0.0,352239,ART. | CENTRAL VENOUS. | MIX. | VEN.
52036,Voided Specimen,0,0,,447689,
52043,Voided Specimen,0,0,,447689,
52065,"Total Nucleated Cells, Ascites",10239,441,95.9,441128,___
52066,Voided Specimen,0,0,,447689,
52069,Absolute Basophil Count,265104,13,100.0,347580,___
52073,Absolute Eosinophil Count,265137,17,100.0,347574,___
52074,Absolute Monocyte Count,265097,21,100.0,347580,___
52075,Absolute Neutrophil Count,265238,25,100.0,347573,___
52087,CD15/56,0,155,0.0,447539,D | DONE | ___
52088,CD 1a,0,1,0.0,447688,DONE
52092,CD56 %,1,0,100.0,447688,
52093,CD56 Absolute Count,1,0,100.0,447688,
52107,dRVVT - Confirmation,168,126,57.1,447400,___
52108,dRVVT - Normalized Ratio,169,125,57.5,447400,___
52109,dRVVT - Screen,571,132,81.2,446998,"CANCEL | CANCELLED | UNABLE TO REPORT, LAB ERROR | ___"
52111,Echinocytes,2,0,100.0,447687,
52113,Factor IX Inhibitor,0,0,,447689,
52123,"G6PD, Qualitative",0,1454,0.0,446292,CANCELLED | DEF | DEFFICIENT | DEFICIENT | NEG | NORAML | NORMA | NORMAL | ___
52129,Hemoglobin Other,1,7,12.5,447681,___
52131,HIT-Ab Interpreted Result,0,267,0.0,447428,CANCEL | NEG | NEGATIVE | POS | POSITIVE | ___
52132,HIT-Ab Numerical Result,266,19,93.3,447420,<0.6 | CALCEL | ___
52135,Immature Granulocytes,26959,139824,16.2,358982,___
52171,RBC Morphology,18,0,100.0,447671,
52172,RDW-SD,1408384,62,100.0,235762,ERROR | ___
52176,Rouleaux,0,0,,447689,
52177,SCT - Confirmation,18,27,40.0,447644,___
52178,SCT - Normalized Ratio,18,27,40.0,447644,___
52179,SCT - Screen,548,29,95.0,447117,___
52181,Stomatocyte,0,0,,447689,
52184,TCR Alpha-Beta,0,3,0.0,447686,DONE
52185,TCR Gamma-Delta,0,3,0.0,447686,DONE
52195,Voided Specimen,1,3,25.0,447685,UNLABELED | VOIDED
52220,wbcp,25,0,100.0,447665,
52221,Atypical Lymphocytes,435,128,77.3,447268,___
52223,Bands,402,15,96.4,447361,___
52225,Basophils,299,7,97.7,447429,___
52227,Blasts,13,68,16.0,447654,___
52256,Eosinophils,1168,13,98.9,446794,___
52257,"Hematocrit, CSF",0,98,0.0,447615,___
52262,Immunophenotyping,0,573,0.0,447199,CALCEL | CALVEL | CANCEL | CANCELED | CANCELLED | CANCLLED | D | DONE | SENT | ___
52263,Lining Cell,103,15,87.3,447594,___
52264,Lymphs,10141,1392,87.9,440833,___
52266,Macrophage,2586,269,90.6,445725,___
52268,Mesothelial cells,37,7,84.1,447650,___
52270,Metamyelocytes,126,11,92.0,447588,___
52272,Monocytes,11228,306,97.3,440832,___
52274,Myelocytes,59,6,90.8,447637,___
52276,NRBC,173,5,97.2,447538,___
52278,Other,13,1646,0.8,446688,___
52279,Plasma,148,75,66.4,447545,___
52281,Polys,7237,4299,62.7,440830,___
52283,Promyelocytes,27,14,65.9,447653,___
52285,"RBC, CSF",8206,3240,71.7,440855,___
52286,"Total Nucleated Cells, CSF",1817,9723,15.7,440831,___
52287,Voided Specimen,0,0,,447689,
52288,Young,3,0,100.0,447686,
52294,Blasts,0,2,0.0,447687,___
52301,Lining Cell,87,14,86.1,447592,___
52305,Myelocytes,5,1,83.3,447684,___
52307,Plasma,12,2,85.7,447675,___
52311,Promyelocytes,1,1,50.0,447687,___
52312,"Total Nucleated Cells, Joint",2268,209,91.6,445527,___
52313,Voided Specimen,0,0,,447689,
52319,CD 1a,0,2,0.0,447687,DONE
52331,TCR Alpha-Beta,0,1,0.0,447688,DONE
52332,TCR Gamma-Delta,0,1,0.0,447688,DONE
52335,TdT,0,33,0.0,447658,DONE
52339,Blasts,5,4,55.6,447681,___
52341,CD 1a,0,2,0.0,447687,DONE
52355,Hypersegmented Neutrophils,2,0,100.0,447687,
52358,Lining Cell,397,140,73.9,447250,___
52369,"Total Nucleated Cells, Other",1625,395,80.4,446032,___
52370,Voided Specimen,0,0,,447689,
52371,Young,1,0,100.0,447688,
52373,TdT,0,12,0.0,447677,DONE
52391,"Total Nucleated Cells, Pleural",7099,440,94.2,441954,___
52392,Voided Specimen,0,0,,447689,
52410,Fatty Casts,0,1,0.0,447688,3-5
52419,Voided Specimen,0,0,,447689,
52424,RFXUCU,0,7792,0.0,441706,DONE
52425,XUCU,0,21878,0.0,432195,DONE
52426,UCU1,0,0,,447689,
52427,UCU2,0,0,,447689,
52769,Absolute Lymphocyte Count,2498,3,99.9,445403,___
52955,CD10,0,571,0.0,447137,D | DD | DONE
52992,Iron Stain,0,0,,447689,
53094,HBV VL CT,600,0,100.0,447131,
53095,Lyme VsIE/PepC10 Antibody,0,0,,447689,
53097,COV10,2129,0,100.0,445846,
53098,COV11,2135,0,100.0,445840,
53099,COV12,959,0,100.0,446759,
53100,COV13,959,0,100.0,446759,
53105,E GENE CT,6551,0,100.0,442474,
53106,E GENE ENDPT,6551,0,100.0,442474,
53107,FLUA1,924,0,100.0,446795,
53108,FLUA2,924,0,100.0,446795,
53109,FLUB1,924,0,100.0,446795,
53110,FLUB2,924,0,100.0,446795,
53111,N2 GENE CT,6551,0,100.0,442474,
53112,N2 GENE ENDPT,6551,0,100.0,442474,
53113,Rapid Respiratory Syncytial Virus,0,0,,447689,
53114,RSV1,924,0,100.0,446795,
53115,RSV2,924,0,100.0,446795,
53127,Voided Specimen,0,0,,447689,
53144,ANCA Titer,0,4,0.0,447685,___
53152,HIV FINAL,0,0,,447689,
53153,HIV Screen,0,5,0.0,447684,___
53161,Estimated GFR (CKD- EPI Refit),20548,1,100.0,437224,___
53163,HIV Viral Load Ct,33,0,100.0,447657,
53169,Ceph-IC,3525,0,100.0,444993,
53170,CephIC Endpt,2146,0,100.0,446033,
53171,COV12IC,507,0,100.0,447196,
53172,COV12MC,507,0,100.0,447196,
53173,COV8IC,3810,0,100.0,444823,
53174,COV8MC,3820,0,100.0,444814,
53175,RdRP Ct,733,0,100.0,447125,
53176,RdRP Endpt,733,0,100.0,447125,
53177,Chlamydia trachomatis,0,0,,447689,
53178,Helicobacter pylori Antigen,0,0,,447689,
53179,Neisseria gonorrhoeae,0,0,,447689,
53180,Estimated GFR (CKD- EPI 2021),681,0,100.0,447048,
53187,PAN,2,0,100.0,447687,
