itemid,label,n_ranges,ref_range_lower,ref_range_upper,n_hadm_with_range,units,n_hadm_no_range,n_hadm_no_value
52257,"Hematocrit, CSF",1,0.0,0.0,77.0,%,0,447615
52262,Immunophenotyping,0,,,,,490,447199
52263,Lining Cell,0,,,,,95,447594
52264,Lymphs,0,,,,,6856,440833
52266,Macrophage,0,,,,,1964,445725
52268,Mesothelial cells,0,,,,,39,447650
52270,Metamyelocytes,0,,,,,101,447588
52272,Monocytes,0,,,,,6857,440832
52274,Myelocytes,0,,,,,52,447637
52276,NRBC,0,,,,,151,447538
52278,Other,0,,,,,1001,446688
52279,Plasma,0,,,,,144,447545
52281,Polys,0,,,,,6859,440830
52283,Promyelocytes,0,,,,,36,447653
52285,"RBC, CSF",2,0.0,0.0,4246.0,#/uL,0,440855
52285,"RBC, CSF",2,0.0,5.0,2601.0,#/uL,0,440855
52286,"Total Nucleated Cells, CSF",1,0.0,5.0,2607.0,#/uL,4255,440831
52287,Voided Specimen,0,,,,,0,447689
52288,Young,0,,,,,3,447686
52294,Blasts,1,0.0,0.0,2.0,%,0,447687
52301,Lining Cell,0,,,,,97,447592
52305,Myelocytes,1,0.0,0.0,5.0,%,0,447684
52307,Plasma,1,0.0,0.0,14.0,%,0,447675
52311,Promyelocytes,1,0.0,0.0,2.0,%,0,447687
52312,"Total Nucleated Cells, Joint",2,0.0,150.0,1326.0,#/uL,0,445527
52312,"Total Nucleated Cells, Joint",2,0.0,200.0,918.0,#/uL,0,445527
52313,Voided Specimen,0,,,,,0,447689
52319,CD 1a,0,,,,,2,447687
52331,TCR Alpha-Beta,0,,,,,1,447688
52332,TCR Gamma-Delta,0,,,,,1,447688
52335,TdT,0,,,,,31,447658
52339,Blasts,1,0.0,0.0,8.0,%,0,447681
52341,CD 1a,0,,,,,2,447687
52355,Hypersegmented Neutrophils,1,0.0,0.0,2.0,%,0,447687
52358,Lining Cell,0,,,,,439,447250
52369,"Total Nucleated Cells, Other",1,0.0,0.0,1709.0,#/uL,0,446032
52370,Voided Specimen,0,,,,,0,447689
52371,Young,1,0.0,0.0,1.0,%,0,447688
52373,TdT,0,,,,,12,447677
52391,"Total Nucleated Cells, Pleural",1,0.0,0.0,5760.0,#/uL,0,441954
52392,Voided Specimen,0,,,,,0,447689
52410,Fatty Casts,1,0.0,0.0,1.0,#/lpf,0,447688
52419,Voided Specimen,0,,,,,0,447689
52424,RFXUCU,0,,,,,5983,441706
52425,XUCU,0,,,,,15494,432195
52426,UCU1,0,,,,,0,447689
52427,UCU2,0,,,,,0,447689
52769,Absolute Lymphocyte Count,0,,,,,2286,445403
52955,CD10,0,,,,,552,447137
52992,Iron Stain,0,,,,,0,447689
53094,HBV VL CT,0,,,,,558,447131
53095,Lyme VsIE/PepC10 Antibody,0,,,,,0,447689
53097,COV10,0,,,,,1843,445846
53098,COV11,0,,,,,1849,445840
53099,COV12,0,,,,,930,446759
53100,COV13,0,,,,,930,446759
53105,E GENE CT,0,,,,,5215,442474
53106,E GENE ENDPT,0,,,,,5215,442474
53107,FLUA1,0,,,,,894,446795
53108,FLUA2,0,,,,,894,446795
53109,FLUB1,0,,,,,894,446795
53110,FLUB2,0,,,,,894,446795
53111,N2 GENE CT,0,,,,,5215,442474
53112,N2 GENE ENDPT,0,,,,,5215,442474
53113,Rapid Respiratory Syncytial Virus,0,,,,,0,447689
53114,RSV1,0,,,,,894,446795
53115,RSV2,0,,,,,894,446795
53127,Voided Specimen,0,,,,,0,447689
53144,ANCA Titer,0,,,,,4,447685
53152,HIV FINAL,0,,,,,0,447689
53153,HIV Screen,0,,,,,5,447684
53161,Estimated GFR (CKD- EPI Refit),0,,,,,10465,437224
53163,HIV Viral Load Ct,0,,,,,32,447657
53169,Ceph-IC,0,,,,,2696,444993
53170,CephIC Endpt,0,,,,,1656,446033
53171,COV12IC,0,,,,,493,447196
53172,COV12MC,0,,,,,493,447196
53173,COV8IC,0,,,,,2866,444823
53174,COV8MC,0,,,,,2875,444814
53175,RdRP Ct,0,,,,,564,447125
53176,RdRP Endpt,0,,,,,564,447125
53177,Chlamydia trachomatis,0,,,,,0,447689
53178,Helicobacter pylori Antigen,0,,,,,0,447689
53179,Neisseria gonorrhoeae,0,,,,,0,447689
53180,Estimated GFR (CKD- EPI 2021),0,,,,,641,447048
53187,PAN,0,,,,,2,447687
